,OWNER_MEANING,SPGRP_NAME,REMCLASSCD_MEANING,SOURCECD_MEANING,PRODCD_MEANING,MCFVOL,RPA_STD_AMOUNT,RPA_STD_AMOUNT_UOM_MEANING,SAWREMVOL,GREEN_TONS
107,National Forest,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Miscellaneous,0.0020352,0.0020352,Thousand cubic feet (M cu. ft.),,0.071232016
108,National Forest,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",0.015723967,0.015723967,Thousand cubic feet (M cu. ft.),,0.471719016
109,National Forest,Longleaf-Slash pine,Logging residues,Sawtimber growing stock,Not Used,1.205652175,1.205652175,Thousand cubic feet (M cu. ft.),45.14846758,42.19782611
110,National Forest,Longleaf-Slash pine,Logging residues,Poletimber growing stock,Not Used,0.804065793,0.804065793,Thousand cubic feet (M cu. ft.),45.14846758,28.14230277
111,National Forest,Longleaf-Slash pine,Logging residues,Nongrowing-stock,Not Used,4.182427318,4.182427318,Thousand cubic feet (M cu. ft.),45.14846758,146.3849561
112,National Forest,White pine,Roundwood product,Sawtimber growing stock,Saw logs,0.20888561,1.241140441,Thousand board feet (MBF) - International 1/4-inch rule,,7.25562085
113,National Forest,White pine,Roundwood product,Sawtimber growing stock,Veneer logs,0.131127681,0.775920811,Thousand board feet (MBF) - International 1/4-inch rule,,4.533317341
114,National Forest,White pine,Roundwood product,Sawtimber growing stock,Pulpwood,0.144536682,1.916969045,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,5.175816423
115,National Forest,White pine,Roundwood product,Sawtimber growing stock,Composite panel,0.025769149,0.331707921,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.895611387
116,National Forest,White pine,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,0.019621993,0.254831078,Thousand cubic feet (M cu. ft.),,0.68804391
117,National Forest,White pine,Roundwood product,Sawtimber growing stock,Miscellaneous,0.001837321,0.001837321,Thousand cubic feet (M cu. ft.),,0.064306245
118,National Forest,White pine,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",0.026960874,0.026960874,Thousand cubic feet (M cu. ft.),,0.808826226
119,National Forest,White pine,Roundwood product,Poletimber growing stock,Saw logs,0.00273939,0.016276699,Thousand board feet (MBF) - International 1/4-inch rule,,0.095152454
120,National Forest,White pine,Roundwood product,Poletimber growing stock,Veneer logs,0.000677454,0.004008693,Thousand board feet (MBF) - International 1/4-inch rule,,0.023420787
121,National Forest,White pine,Roundwood product,Poletimber growing stock,Pulpwood,0.190726753,2.52958126,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,6.829869401
122,National Forest,White pine,Roundwood product,Poletimber growing stock,Composite panel,0.105919197,1.363422481,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,3.681240698
123,National Forest,White pine,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.016327997,0.212051909,Thousand cubic feet (M cu. ft.),,0.572540155
124,National Forest,White pine,Roundwood product,Poletimber growing stock,Miscellaneous,0.002127536,0.002127536,Thousand cubic feet (M cu. ft.),,0.074463771
125,National Forest,White pine,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",0.031219493,0.031219493,Thousand cubic feet (M cu. ft.),,0.936584797
126,National Forest,White pine,Roundwood product,Nongrowing-stock,Saw logs,0.005240619,0.031138306,Thousand board feet (MBF) - International 1/4-inch rule,,0.182032375
127,National Forest,White pine,Roundwood product,Nongrowing-stock,Veneer logs,0.002693747,0.015939686,Thousand board feet (MBF) - International 1/4-inch rule,,0.093127613
128,National Forest,White pine,Roundwood product,Nongrowing-stock,Pulpwood,0.029493837,0.391172483,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,1.056165703
129,National Forest,White pine,Roundwood product,Nongrowing-stock,Composite panel,0.016202518,0.208563483,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.563121404
130,National Forest,White pine,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.058780789,0.763386874,Thousand cubic feet (M cu. ft.),,2.06114456
131,National Forest,White pine,Roundwood product,Nongrowing-stock,Miscellaneous,4.82E-05,4.82E-05,Thousand cubic feet (M cu. ft.),,0.001687471
132,National Forest,White pine,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",0.000707485,0.000707485,Thousand cubic feet (M cu. ft.),,0.021224543
133,National Forest,Other pines,Roundwood product,Sawtimber growing stock,Saw logs,136.8030964,812.8458659,Thousand board feet (MBF) - International 1/4-inch rule,,4751.832481
134,National Forest,Other pines,Roundwood product,Sawtimber growing stock,Veneer logs,85.6328839,506.7147999,Thousand board feet (MBF) - International 1/4-inch rule,,2960.481218
135,National Forest,Other pines,Roundwood product,Sawtimber growing stock,Pulpwood,94.55674962,1254.104461,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,3386.082045
136,National Forest,Other pines,Roundwood product,Sawtimber growing stock,Composite panel,16.83350271,216.68569,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,585.0513631
137,National Forest,Other pines,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,12.83434243,166.6797719,Thousand cubic feet (M cu. ft.),,450.0353841
138,National Forest,Other pines,Roundwood product,Sawtimber growing stock,Miscellaneous,1.200870608,1.200870608,Thousand cubic feet (M cu. ft.),,42.03047129
139,National Forest,Other pines,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",17.60506655,17.60506655,Thousand cubic feet (M cu. ft.),,528.1519964
140,National Forest,Other pines,Roundwood product,Poletimber growing stock,Saw logs,1.794078089,10.65991191,Thousand board feet (MBF) - International 1/4-inch rule,,62.31699981
141,National Forest,Other pines,Roundwood product,Poletimber growing stock,Veneer logs,0.442411008,2.617875227,Thousand board feet (MBF) - International 1/4-inch rule,,15.29493601
142,National Forest,Other pines,Roundwood product,Poletimber growing stock,Pulpwood,124.7745666,1654.882822,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,4468.183618
143,National Forest,Other pines,Roundwood product,Poletimber growing stock,Composite panel,69.19091933,890.6454206,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,2404.742636
144,National Forest,Other pines,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,10.67980734,138.6987966,Thousand cubic feet (M cu. ft.),,374.4867508
145,National Forest,Other pines,Roundwood product,Poletimber growing stock,Miscellaneous,1.390554756,1.390554756,Thousand cubic feet (M cu. ft.),,48.66941644
146,National Forest,Other pines,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",20.38588407,20.38588407,Thousand cubic feet (M cu. ft.),,611.5765222
